ENLIGHTEN Version,3.2.36
Measurement ID,20260121-153022-722874-WP-01416
Serial Number,WP-01416
Model,WPX-532-R4-EXR-IC
Detector,S11850-1106
Label,CDCl3
Declared Match,
Declared Score,0
Scan Averaging,1
Boxcar,1
Technique,
Baseline Correction Algo,
ROI Pixel Start,80
ROI Pixel End,2046
CCD C4,2.7494990333977454e-13
Slit Width,25
Vignetted,True
Interpolated,False
Wavenumber Correction,0
Raman Intensity Corrected,False
Deconvolved,False
Region,
Laser Power mW,
Battery %,
Device ID,<DeviceID USB USB:0x24aa:0x1000:0:1>
FW Version,10.0.0.10
FPGA Version,035-001
Integration Time,1000
Timestamp,2026-01-21 15:30:22.722874
Note,
Temperature,9.993813157576085
CCD C0,526.0908203125
CCD C1,0.11147542297840118
CCD C2,4.83367011838709e-06
CCD C3,-3.902286493939755e-09
CCD Offset,0
CCD Gain,1.9
CCD Offset Odd,0
CCD Gain Odd,1.9
Laser Wavelength,532.1
Laser Enable,False
Laser Power %,100
Laser Temperature,0
Pixel Count,2048

Pixel,Wavelength,Wavenumber,Processed
651,599.68,2117.97,1097.00
652,599.80,2121.12,1099.33
653,599.91,2124.26,1091.67
654,600.02,2127.40,1097.33
655,600.14,2130.54,1105.67
656,600.25,2133.68,1111.33
657,600.36,2136.82,1114.33
658,600.47,2139.96,1119.33
659,600.59,2143.09,1113.67
660,600.70,2146.23,1093.00
661,600.81,2149.36,1083.67
662,600.93,2152.49,1083.67
663,601.04,2155.62,1082.33
664,601.15,2158.75,1079.00
665,601.27,2161.88,1084.00
666,601.38,2165.00,1106.67
667,601.49,2168.13,1111.67
668,601.60,2171.25,1117.33
669,601.72,2174.38,1103.00
670,601.83,2177.50,1091.00
671,601.94,2180.62,1085.33
672,602.06,2183.74,1095.33
673,602.17,2186.85,1103.67
674,602.28,2189.97,1101.33
675,602.40,2193.08,1100.00
676,602.51,2196.20,1111.33
677,602.62,2199.31,1113.00
678,602.74,2202.42,1118.00
679,602.85,2205.53,1123.67
680,602.96,2208.64,1137.67
681,603.07,2211.75,1138.33
682,603.19,2214.85,1148.00
683,603.30,2217.96,1147.33
684,603.41,2221.06,1171.33
685,603.53,2224.16,1179.67
686,603.64,2227.26,1229.00
687,603.75,2230.36,1309.67
688,603.86,2233.46,1445.00
689,603.98,2236.56,1673.00
690,604.09,2239.65,1972.00
691,604.20,2242.74,2335.67
692,604.32,2245.84,2642.00
693,604.43,2248.93,2796.00
694,604.54,2252.02,2669.67
695,604.66,2255.11,2322.67
696,604.77,2258.20,1915.67
697,604.88,2261.28,1599.00
698,604.99,2264.37,1433.33
699,605.11,2267.45,1325.67
700,605.22,2270.53,1281.00
701,605.33,2273.61,1228.33
702,605.45,2276.69,1204.33
703,605.56,2279.77,1183.33
704,605.67,2282.85,1170.00
705,605.78,2285.93,1165.67
706,605.90,2289.00,1145.33
707,606.01,2292.07,1135.33
708,606.12,2295.15,1132.00
709,606.24,2298.22,1118.33
710,606.35,2301.29,1119.67
711,606.46,2304.35,1088.67
712,606.57,2307.42,1108.67
713,606.69,2310.49,1101.67
714,606.80,2313.55,1117.67
715,606.91,2316.62,1107.67
716,607.03,2319.68,1116.00
717,607.14,2322.74,1105.33
718,607.25,2325.80,1112.33
719,607.36,2328.85,1106.00
720,607.48,2331.91,1118.00
721,607.59,2334.97,1124.33
722,607.70,2338.02,1117.33
723,607.81,2341.07,1106.33
724,607.93,2344.13,1105.67
725,608.04,2347.18,1104.33
726,608.15,2350.22,1112.00
727,608.27,2353.27,1096.67
728,608.38,2356.32,1098.67
729,608.49,2359.36,1102.67
730,608.60,2362.41,1106.67
731,608.72,2365.45,1099.00
732,608.83,2368.49,1095.67
733,608.94,2371.53,1093.00
734,609.05,2374.57,1119.00
735,609.17,2377.61,1130.33
736,609.28,2380.64,1135.33
737,609.39,2383.68,1112.33
738,609.51,2386.71,1087.00
739,609.62,2389.75,1082.00
740,609.73,2392.78,1094.67
741,609.84,2395.81,1112.33
742,609.96,2398.84,1113.00
743,610.07,2401.86,1103.00
744,610.18,2404.89,1132.33
745,610.29,2407.91,1144.33
746,610.41,2410.94,1147.33
747,610.52,2413.96,1136.00
748,610.63,2416.98,1162.67
749,610.74,2420.00,1188.00
750,610.86,2423.02,1189.00
751,610.97,2426.03,1188.33
752,611.08,2429.05,1181.00
753,611.19,2432.07,1203.33
754,611.31,2435.08,1184.33
755,611.42,2438.09,1190.67
756,611.53,2441.10,1159.67
757,611.65,2444.11,1154.67
758,611.76,2447.12,1140.67
759,611.87,2450.13,1143.67
760,611.98,2453.13,1141.67
761,612.10,2456.14,1160.67
762,612.21,2459.14,1131.67
763,612.32,2462.14,1121.67
