TITLE	
DATA TYPE	ULTRAVIOLET SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	25/11/19
TIME	12:51:05
SPECTROMETER/DATA SYSTEM	
LOCALE	2057
RESOLUTION	
DELTAX	-0.2
XUNITS	NANOMETERS
YUNITS	ABSORBANCE
FIRSTX	  900.0000
LASTX	  200.0000
NPOINTS	    3501
FIRSTY	    -0.00292
MAXY	     2.34215
MINY	    -0.00739
XYDATA
706.4000	-0.00151662
706.2000	-0.00144861
706.0000	-0.00135257
705.8000	-0.00142622
705.6000	-0.00148995
705.4000	-0.00151086
705.2000	-0.00146197
705.0000	-0.00124262
704.8000	-0.00106717
704.6000	-0.00115894
704.4000	-0.00112264
704.2000	-0.00113013
704.0000	-0.00135684
703.8000	-0.00121964
703.6000	-0.000944991
703.4000	-0.00106069
703.2000	-0.00103842
703.0000	-0.000995774
702.8000	-0.00102773
702.6000	-0.000937745
702.4000	-0.0010405
702.2000	-0.0010446
702.0000	-0.000979084
701.8000	-0.000800599
701.6000	-0.000952237
701.4000	-0.000916362
701.2000	-0.000675808
701.0000	-0.000805826
700.8000	-0.00085263
700.6000	-0.000773396
700.4000	-0.000771614
700.2000	-0.000947723
700.0000	-0.000878705
699.8000	-0.000807964
699.6000	-0.000690716
699.4000	-0.000465962
699.2000	-0.000485503
699.0000	-0.000628885
698.8000	-0.000537772
698.6000	-0.000430265
698.4000	-0.00035008
698.2000	-0.000406447
698.0000	-0.00062253
697.8000	-0.000451826
697.6000	-0.000230278
697.4000	-0.00025172
697.2000	-0.000301969
697.0000	-0.00038358
696.8000	-0.00044452
696.6000	-0.000399973
696.4000	-0.000329351
696.2000	-0.000144867
696.0000	-0.000110061
695.8000	-0.000166071
695.6000	2.6253E-05
695.4000	2.79161E-06
695.2000	-0.000212816
695.0000	-0.000150688
694.8000	1.01567E-05
694.6000	6.96715E-05
694.4000	8.27981E-05
694.2000	0.000187632
694.0000	0.000367364
693.8000	0.00025475
693.6000	0.000125147
693.4000	0.000143798
693.2000	0.000200105
693.0000	0.000279043
692.8000	0.000379362
692.6000	0.000544068
692.4000	0.000494591
692.2000	0.000480217
692.0000	0.000464536
691.8000	0.000366711
691.6000	0.00054971
691.4000	0.000528387
691.2000	0.000394033
691.0000	0.000552264
690.8000	0.000648486
690.6000	0.000682163
690.4000	0.000732769
690.2000	0.000746608
690.0000	0.000823942
689.8000	0.000912976
689.6000	0.000987281
689.4000	0.00101033
689.2000	0.00102862
689.0000	0.000940714
